No_;Location;Inventory;Saleable qty
004127;120;-1.000000;-1.000000
023187;120;.000000;.000000
017358;120;.000000;.000000
002033;120;.000000;.000000
007336;120;.000000;.000000
016522;120;.000000;.000000
026177;120;.000000;.000000
017086;120;.000000;.000000
003935;120;.000000;.000000
002883;120;.000000;.000000
003035;120;.000000;.000000
015854;120;.000000;.000000
005513;120;.000000;.000000
027113;120;.000000;.000000
022355;120;.000000;.000000
001877;120;.000000;.000000
005432;120;.000000;.000000
003954;120;.000000;.000000
003740;120;.000000;.000000
002163;120;.000000;.000000
025524;120;.000000;.000000
003905;120;.000000;.000000
034441;120;.000000;.000000
004439;120;.000000;.000000
017470;120;.000000;.000000
003145;120;.000000;.000000
003005;120;.000000;.000000
002668;120;.000000;.000000
020725;120;.000000;.000000
016336;120;.000000;.000000
015851;120;.000000;.000000
019838;120;.000000;.000000
031336;120;.000000;.000000
002507;120;.000000;.000000
018017;120;.000000;.000000
019988;120;.000000;.000000
006085;120;.000000;.000000
001922;120;.000000;.000000
003613;120;.000000;.000000
004553;120;.000000;.000000
015654;120;.000000;.000000
008831;120;.000000;.000000
021519;120;.000000;.000000
000867;120;.000000;.000000
001445;120;.000000;.000000
001009;120;.000000;.000000
015392;120;.000000;.000000
002969;120;.000000;.000000
017725;120;.000000;.000000
008919;120;.000000;.000000
004290;120;1.000000;1.000000
020020;120;.000000;.000000
015330;120;.000000;.000000
026179;120;-8.000000;-8.000000
003115;120;.000000;.000000
005072;120;.000000;.000000
018718;120;.000000;.000000
000280;120;.000000;.000000
004632;120;.000000;-1.000000
016046;120;.000000;.000000
015501;120;2.000000;2.000000
004648;120;.000000;.000000
000709;120;.000000;.000000
004123;120;12.000000;12.000000
002356;120;.000000;.000000
027768;120;.000000;.000000
026641;120;.000000;.000000
007963;120;-6.000000;-6.000000
007779;120;-2.000000;-2.000000
027496;120;.000000;.000000
022899;120;7.000000;6.000000
028615;120;.000000;.000000
017796;120;.000000;.000000
015862;120;.000000;.000000
008908;120;.000000;.000000
008367;120;22.000000;22.000000
003985;120;.000000;.000000
008862;120;.000000;.000000
008714;120;.000000;.000000
015391;120;.000000;.000000
005731;120;.000000;.000000
003509;120;.000000;.000000
001760;120;1.000000;1.000000
000189;120;.000000;.000000
001904;120;.000000;.000000
005976;120;.000000;.000000
015863;120;.000000;.000000
005203;120;1.000000;1.000000
002017;120;.000000;.000000
007323;120;.000000;.000000
029796;120;.000000;.000000
020892;120;.000000;.000000
018556;120;-.090000;-.090000
019754;120;.000000;.000000
004773;120;-3.000000;-3.000000
017248;120;.000000;.000000
027194;120;.000000;.000000
005598;120;.000000;.000000
006828;120;.000000;.000000
000901;120;.000000;.000000
025525;120;.000000;.000000
022332;120;.000000;.000000
031135;120;.000000;.000000
005012;120;8.000000;8.000000
005641;120;.000000;.000000
022851;120;.000000;.000000
005679;120;.000000;.000000
003366;120;.000000;.000000
002167;120;-2.000000;-2.000000
004098;120;.000000;.000000
002665;120;.000000;.000000
008843;120;-16.000000;-16.000000
005788;120;.000000;.000000
005544;120;-1.000000;-1.000000
008834;120;.000000;.000000
009090;120;.000000;.000000
025804;120;9.500000;9.500000
017435;120;.000000;.000000
003255;120;.000000;.000000
006432;120;1.000000;1.000000
001744;120;.000000;.000000
000077;120;1.000000;1.000000
002375;120;.000000;.000000
000942;120;.000000;.000000
005563;120;.000000;.000000
003923;120;.000000;.000000
017679;120;.000000;.000000
015547;120;.000000;.000000
005052;120;-1.000000;-1.000000
002451;120;.000000;.000000
024892;120;.000000;.000000
006699;120;.000000;.000000
002647;120;-1.000000;-1.000000
015546;120;.000000;.000000
000652;120;1.000000;.000000
026596;120;.000000;.000000
003452;120;.000000;.000000
008059;120;.000000;.000000
015711;120;3.000000;3.000000
006128;120;.000000;.000000
017564;120;.000000;.000000
017572;120;.000000;.000000
003660;120;2.000000;2.000000
002578;120;.000000;.000000
004133;120;.000000;.000000
015213;120;.000000;.000000
016128;120;4.500000;4.500000
017413;120;.000000;.000000
000557;120;.000000;.000000
000931;120;.000000;.000000
004571;120;.000000;.000000
008309;120;.000000;.000000
020932;120;.000000;.000000
015664;120;.000000;.000000
003495;120;.000000;.000000
004349;120;.000000;.000000
015682;120;.000000;.000000
015876;120;.000000;.000000
000528;120;.000000;.000000
002454;120;.000000;.000000
028447;120;.000000;.000000
017469;120;.000000;.000000
008192;120;.000000;.000000
008652;120;.000000;.000000
018009;120;.000000;.000000
002113;120;.000000;.000000
003422;120;.000000;.000000
006843;120;.000000;.000000
002945;120;.000000;.000000
004468;120;.000000;.000000
005102;120;.000000;.000000
017906;120;1.000000;1.000000
017738;120;.000000;.000000
022938;120;.000000;.000000
016378;120;.000000;.000000
004490;120;.000000;.000000
017681;120;.000000;.000000
017693;120;.000000;.000000
018574;120;.000000;.000000
016257;120;.000000;.000000
005578;120;.000000;.000000
017465;120;.000000;.000000
028243;120;.000000;.000000
022361;120;.000000;.000000
017827;120;.000000;.000000
018339;120;4.000000;4.000000
007390;120;.000000;.000000
025940;120;-1.000000;-1.000000
006064;120;.000000;.000000
006345;120;.000000;.000000
003250;120;.000000;.000000
008786;120;.000000;.000000
048968;120;.000000;.000000
004208;120;-5.000000;-5.000000
004812;120;15.000000;15.000000
025869;120;.000000;.000000
000161;120;.000000;.000000
018035;120;.000000;.000000
006063;120;.000000;.000000
015341;120;.000000;.000000
001057;120;1.000000;1.000000
005237;120;.000000;.000000
021513;120;.000000;.000000
037673;120;.000000;.000000
001679;120;.000000;.000000
015398;120;.000000;.000000
004581;120;.000000;.000000
015240;120;.000000;.000000
005676;120;-3.000000;-3.000000
003860;120;1.000000;1.000000
007987;120;.000000;.000000
004841;120;.000000;.000000
006696;120;.000000;.000000
001452;120;.000000;.000000
000868;120;.000000;.000000
028820;120;.000000;.000000
013415;120;.000000;.000000
007119;120;.000000;.000000
017602;120;.000000;.000000
027614;120;.000000;.000000
003164;120;.940000;.940000
005735;120;.000000;.000000
006585;120;-1.260000;-1.260000
025606;120;.000000;.000000
004642;120;.000000;.000000
015511;120;.000000;.000000
017704;120;.000000;.000000
001792;120;.000000;.000000
000108;120;.000000;.000000
020956;120;-1.000000;-1.000000
005746;120;.000000;.000000
023463;120;.000000;.000000
019576;120;.000000;.000000
003629;120;.000000;.000000
017664;120;.000000;.000000
028282;120;.000000;.000000
006652;120;.000000;.000000
007707;120;3.000000;3.000000
016382;120;.000000;.000000
025874;120;.000000;.000000
036833;120;.000000;.000000
008212;120;-1.000000;-1.000000
008814;120;.000000;.000000
003893;120;3.000000;3.000000
003270;120;4.000000;4.000000
001618;120;.000000;.000000
000033;120;.000000;.000000
021496;120;.000000;.000000
036869;120;.000000;.000000
018037;120;.000000;.000000
025759;120;.000000;.000000
008638;120;.000000;.000000
017598;120;.000000;.000000
017456;120;.000000;.000000
017390;120;4.000000;4.000000
019618;120;.000000;.000000
002572;120;.000000;.000000
004684;120;.000000;.000000
025796;120;.000000;.000000
031141;120;.000000;.000000
008836;120;.000000;.000000
004638;120;-2.000000;-2.000000
009076;120;.000000;.000000
019769;120;.000000;.000000
027388;120;.000000;.000000
001111;120;-9.000000;-9.000000
000796;120;.000000;.000000
001796;120;-2.000000;-3.000000
027165;120;1.000000;1.000000
001984;120;.000000;.000000
005616;120;.000000;.000000
013463;120;-20.000000;-20.000000
005446;120;-1.000000;-1.000000
003410;120;1.000000;1.000000
018576;120;.000000;.000000
005835;120;-1.000000;-1.000000
006826;120;1.000000;1.000000
005364;120;.000000;.000000
006180;120;.000000;.000000
018569;120;.000000;.000000
017002;120;.000000;.000000
018667;120;.000000;.000000
008031;120;-4.000000;-4.000000
019251;120;.000000;.000000
005638;120;.000000;.000000
004495;120;.000000;.000000
003442;120;.000000;.000000
018730;120;.000000;.000000
005041;120;.000000;.000000
026600;120;.000000;.000000
003764;120;.000000;.000000
008312;120;.000000;.000000
004980;120;.000000;.000000
005339;120;-1.000000;-1.000000
025535;120;.000000;.000000
002743;120;.000000;.000000
