ar;ItemNo;SalesQty;SalesAmountExclVat;SalesAmountInclVat;BF
2022;003881;47.000000;8579.200000;10724.000000;3235.600000
2023;006652;40.800000;673.920000;842.400000;-3804.290000
2020;006171;654.000000;61701.500000;77126.875000;27390.490000
2024;031131;26.000000;5179.200000;6474.000000;625.040000
2020;020103;3.000000;10383.200000;12979.000000;3958.880000
2022;020279;155.000000;52838.340000;66047.925000;13763.310000
2020;000330;18.000000;142.560000;178.200000;72.720000
2024;026574;8.000000;561.330000;701.662500;168.610000
2020;003686;1866.000000;150526.390000;188157.987500;27165.130000
2023;046794;77.000000;12729.920000;15912.400000;3960.390000
2023;027155;23.000000;17405.600000;21757.000000;4977.360000
2023;041056;73.000000;5743.200000;7179.000000;1874.370000
2020;000465;28.000000;525.600000;657.000000;261.840000
2023;026240;2.000000;2398.400000;2998.000000;-556.160000
2022;022845;29.000000;19670.400000;24588.000000;4784.400000
2020;027485;276.000000;54968.000000;68710.000000;4084.640000
2020;027784;2.000000;478.400000;598.000000;218.560000
2023;031975;-1.000000;-559.200000;-699.000000;-190.700000
2020;004439;146.000000;100401.440000;125501.800000;34158.380000
2024;009605;18.000000;849.600000;1062.000000;-43.020000
2023;038524;29.000000;299560.800000;374451.000000;8755.340000
2022;031184;22.000000;18862.400000;23578.000000;9062.320000
2020;008089;4.000000;76.800000;96.000000;23.040000
2023;028128;11.000000;138.400000;173.000000;89.120000
2022;024987;8.000000;89.600000;112.000000;26.880000
2021;022880;29.000000;2096.000000;2620.000000;926.720000
2024;036936;6.000000;411.200000;514.000000;174.560000
2022;023050;41.000000;72404.000000;90505.000000;1655.960000
2023;004220;24.000000;3285.590000;4106.987500;928.080000
2024;019409;4.000000;10129.600000;12662.000000;-1464.200000
2022;031011;45.000000;145012.800000;181266.000000;-6284.350000
2023;016562;1.000000;863.200000;1079.000000;-54.080000
2021;015862;12.000000;835.200000;1044.000000;136.320000
2024;028835;2.000000;366.400000;458.000000;111.960000
2024;026507;12.000000;927.200000;1159.000000;367.020000
2020;018413;900.433600;66998.860000;83748.575000;8336.060000
2021;020558;235.000000;54452.260000;68065.325000;31445.760000
2022;031059;148.000000;3426.400000;4283.000000;1456.520000
2022;004132;80.000000;6385.600000;7982.000000;1778.270000
2024;021932;93.000000;6532.800000;8166.000000;3108.450000
2021;002609;67.000000;3656.800000;4571.000000;1104.100000
2021;015356;2.000000;203.200000;254.000000;33.040000
2020;003104;136.000000;7527.600000;9409.500000;2675.760000
2020;027570;15.000000;12828.000000;16035.000000;-710.730000
2022;026047;8.000000;1913.600000;2392.000000;800.000000
2020;022883;10.000000;736.800000;921.000000;311.200000
2020;020489;7.000000;218.400000;273.000000;110.800000
